No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1,2012.917,32.0,84.9,10,32.7830,117.1402,37.9
2,2012.917,19.5,306.6,9,32.7803,117.1395,42.2
3,2013.583,13.3,562,5,32.7875,117.1439,47.3
4,2013.500,13.3,562,5,32.7875,117.1439,54.8
5,2012.833,5.0,390.6,5,32.7794,117.1425,43.1
6,2012.667,7.1,2175,3,32.7631,117.1125,32.1
7,2012.667,34.5,623.5,7,32.7793,117.1364,40.3
8,2013.417,20.3,287.6,6,32.7804,117.1423,46.7
9,2013.500,31.7,5512,1,32.7510,117.0846,18.8
10,2013.417,17.9,1783.2,3,32.7673,117.1149,22.1
11,2013.083,34.8,405.2,1,32.7735,117.1337,41.4
12,2013.333,6.3,90.5,9,32.7743,117.1431,58.1
13,2012.917,13.0,492.2,5,32.7652,117.1374,39.3
14,2012.667,20.4,2469.6,4,32.7611,117.1105,23.8
15,2013.500,13.2,1164.8,4,32.7916,117.1341,34.3
16,2013.583,35.7,579.2,2,32.7824,117.1462,50.5
17,2013.250,0.0,293,6,32.7774,117.1446,70.1
18,2012.750,17.7,350.9,1,32.7754,117.1312,37.4
19,2013.417,16.9,368.1,8,32.7675,117.1445,42.3
20,2012.667,1.5,23.4,7,32.7677,117.1410,47.7
21,2013.417,4.5,2275.9,3,32.7631,117.1115,29.3
22,2013.417,10.5,279.2,7,32.7753,117.1454,51.6
23,2012.917,14.7,1360.1,1,32.7520,117.1484,24.6
24,2013.083,10.1,279.2,7,32.7753,117.1454,47.9
25,2013.000,39.6,480.7,4,32.7735,117.1389,38.8
26,2013.083,29.3,1487.9,2,32.7754,117.1173,27.0
27,2012.667,3.1,383.9,5,32.7809,117.1439,56.2
28,2013.250,10.4,276.4,5,32.7559,117.1391,33.6
29,2013.500,19.2,557.5,4,32.7742,117.1380,47.0
30,2013.083,7.1,451.2,5,32.7756,117.1469,57.1
31,2013.500,25.9,4519.7,0,32.7483,117.0959,22.1
